epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.241,1.04657,3.31766,1.27944,0.67574,0.11896,0.10623,0.08132,1.07781,2.89487,1.27089,0.000123278,0.000123278,0.000123278
2,1072.63,0.98219,2.6744,1.23498,0.59365,0.16962,0.13789,0.10335,1.03866,2.57274,1.26377,0.000241729,0.000241729,0.000241729
3,1711.04,0.96855,2.42922,1.229,0.48826,0.23474,0.17054,0.13005,1.07213,2.55553,1.25806,0.000355295,0.000355295,0.000355295
4,535.87,0.90899,2.17749,1.24613,0.5146,0.25358,0.22886,0.1663,1.06048,2.52496,1.27007,0.000348022,0.000348022,0.000348022
5,1222.74,0.89073,2.00698,1.16056,0.37643,0.26697,0.25596,0.17542,1.01025,2.10355,1.2099,0.000340696,0.000340696,0.000340696
6,1846.45,0.84937,1.86249,1.13749,0.35596,0.31384,0.24506,0.17888,1.0161,2.56769,1.20973,0.00033337,0.00033337,0.00033337
7,378.563,0.84086,1.75309,1.19703,0,0,0,0,0,0,0,0.000326044,0.000326044,0.000326044
8,767.876,0.8706,1.74006,1.15211,0,0,0,0,0,0,0,0.000318718,0.000318718,0.000318718
9,1177.95,0.84831,1.63094,1.13845,0,0,0,0,0,0,0,0.000311392,0.000311392,0.000311392
10,1585.13,0.84997,1.56919,1.12876,0,0,0,0,0,0,0,0.000304066,0.000304066,0.000304066
11,1976.62,0.84879,1.5453,1.12031,0,0,0,0,0,0,0,0.00029674,0.00029674,0.00029674
12,2380.5,0.83225,1.46749,1.11001,0,0,0,0,0,0,0,0.000289414,0.000289414,0.000289414
13,2770.95,0.83701,1.46374,1.11186,0,0,0,0,0,0,0,0.000282088,0.000282088,0.000282088
14,3165.6,0.80567,1.39297,1.08774,0,0,0,0,0,0,0,0.000274762,0.000274762,0.000274762
15,3554.99,0.79325,1.34582,1.08049,0,0,0,0,0,0,0,0.000267436,0.000267436,0.000267436
16,3974.34,0.77919,1.31491,1.0714,0,0,0,0,0,0,0,0.00026011,0.00026011,0.00026011
17,4380.86,0.77925,1.29236,1.07785,0,0,0,0,0,0,0,0.000252784,0.000252784,0.000252784
18,4825.49,0.78797,1.26096,1.07828,0,0,0,0,0,0,0,0.000245458,0.000245458,0.000245458
