epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.383,0.9316,2.84796,1.17274,0.74575,0.1457,0.12702,0.09928,0.94443,2.37636,1.18245,0.000122894,0.000122894,0.000122894
2,624.881,0.85413,1.81311,1.12318,0.65166,0.2335,0.23844,0.17949,0.89866,1.95292,1.15242,0.000241352,0.000241352,0.000241352
3,977.916,0.82835,1.57031,1.10439,0.59476,0.24562,0.23292,0.17032,0.9063,1.81398,1.17556,0.000354926,0.000354926,0.000354926
4,1321.64,0.78649,1.4172,1.07605,0.51086,0.28063,0.27411,0.20228,0.89055,1.67791,1.14471,0.000348022,0.000348022,0.000348022
5,1702.55,0.78081,1.33377,1.06824,0.38498,0.35951,0.30319,0.22018,0.9025,1.73315,1.15236,0.000340696,0.000340696,0.000340696
6,2163.52,0.76132,1.24912,1.05236,0.6885,0.31705,0.34215,0.25028,0.87528,1.5782,1.153,0.00033337,0.00033337,0.00033337
7,2551.83,0.74544,1.17027,1.04833,0.55497,0.28876,0.35392,0.26314,0.84281,1.46067,1.11516,0.000326044,0.000326044,0.000326044
8,2982.46,0.74195,1.1237,1.0431,0.52401,0.31706,0.29938,0.22211,0.87184,1.50427,1.13007,0.000318718,0.000318718,0.000318718
9,3413.81,0.71586,1.0756,1.02757,0.58058,0.32986,0.35924,0.26532,0.88234,1.51063,1.14529,0.000311392,0.000311392,0.000311392
10,3857.32,0.70645,1.02154,1.02188,0.66096,0.29303,0.36333,0.25093,0.8883,1.38926,1.16358,0.000304066,0.000304066,0.000304066
11,4301.91,0.69959,1.01925,1.02709,0.61115,0.35143,0.38469,0.2771,0.86559,1.34229,1.13641,0.00029674,0.00029674,0.00029674
12,360.787,0.81322,1.34868,1.16513,0.56569,0.35707,0.37889,0.2768,1.03906,1.72565,1.34504,0.000289414,0.000289414,0.000289414
13,817.395,0.77009,1.23152,1.11562,0.50425,0.40739,0.41617,0.29544,0.99416,1.59904,1.26944,0.000282088,0.000282088,0.000282088
14,1339,0.75153,1.14156,1.08804,0.49018,0.33249,0.37326,0.28133,1.0023,1.59181,1.27128,0.000274762,0.000274762,0.000274762
15,1869.63,0.73061,1.08163,1.06034,0.51944,0.36365,0.38356,0.2746,0.99676,1.49889,1.23959,0.000267436,0.000267436,0.000267436
16,2616.35,0.70663,1.03372,1.04856,0.45313,0.43753,0.43105,0.30379,0.99352,1.59324,1.25238,0.00026011,0.00026011,0.00026011
17,3370.45,0.70826,0.99163,1.04189,0.48349,0.36841,0.40925,0.28466,0.9787,1.54399,1.25113,0.000252784,0.000252784,0.000252784
18,4063.22,0.68827,0.95319,1.03116,0.50878,0.37376,0.42457,0.3105,0.98315,1.51428,1.25118,0.000245458,0.000245458,0.000245458
19,4748.37,0.68957,0.93773,1.03099,0.57515,0.40505,0.45011,0.3123,0.97306,1.43813,1.23925,0.000238132,0.000238132,0.000238132
20,490.031,0.65683,0.88051,1.01716,0.45572,0.42071,0.4157,0.29917,0.93017,1.49028,1.22073,0.000230806,0.000230806,0.000230806
21,1044.3,0.63434,0.84155,0.99979,0.50739,0.42877,0.44928,0.33318,0.94447,1.39877,1.24716,0.00022348,0.00022348,0.00022348
22,1801.26,0.6302,0.8133,1.00184,0.39935,0.47854,0.44441,0.3118,1.00407,1.42524,1.27194,0.000216154,0.000216154,0.000216154
23,2509.81,0.63234,0.78611,0.99669,0.4953,0.42871,0.42381,0.30757,1.00802,1.46979,1.26892,0.000208828,0.000208828,0.000208828
24,3149.75,0.61219,0.76152,0.98855,0.45533,0.46284,0.43206,0.31405,0.98717,1.45175,1.26091,0.000201502,0.000201502,0.000201502
25,516.952,0.80175,1.31413,1.21173,0.33174,0.43132,0.36787,0.26057,1.06291,1.68671,1.3591,0.000194176,0.000194176,0.000194176
26,1301.94,0.71953,1.09668,1.09104,0.44662,0.43904,0.42427,0.30099,1.01581,1.61836,1.34372,0.00018685,0.00018685,0.00018685
27,2172.08,0.68573,1.0108,1.06454,0.52933,0.33539,0.41644,0.3001,1.01237,1.61837,1.32761,0.000179524,0.000179524,0.000179524
